sample_key,step17_review_priority_score,step17_review_priority_tier,step17_review_reason,step17_check_additive,step17_check_structure,step17_check_np_type,step17_check_sintering,source_files_step16,classification_case_step15,thresholds_in_high_zt_error_file_step15,material_system,n_or_p,n_or_p_basis,n_or_p_step6,n_or_p_basis_step6,n_or_p_confidence_step6,composition,DOI,doi_url,paper_title,zt_obs_max_step14,zt_pred_max_step14,zt_calc_from_obs_max_step14,zt_pred_vs_obs_mape_step14,zt_pred_vs_calc_mape_step14,manual_review_priority_score_step15,manual_review_priority_tier_step15,zt_error_analysis_category_step15,nanocarbon_keyword_detected_step9,nanocarbon_type_auto_step9,rare_metal_flag_auto_step9,toxicity_flag_auto_step9,additive_auto_step9,additive_manual_step9,structure_auto_step9,structure_manual_step9,sintering_method,sintering_checked,record_checked,sintering_check_reason_step15,n_rows_step14,n_pf_eval_rows_step14,n_zt_calc_eval_rows_step14,n_zt_obs_eval_rows_step14,pf_mape_step14,pf_log_rmse_step14,zt_pred_vs_calc_log_rmse_step14,zt_pred_vs_obs_log_rmse_step14,zt_pred_vs_obs_quality_step14,zt_pred_vs_calc_quality_step14,SID,sample_id,year,tau_eff_step12,tau_eff_unit_step12,tau_eff_mode_step12,fitting_source_actual_step10,needs_sintering_check_later_step14,pf_error_level_sample_step15,zt_obs_error_level_sample_step15,zt_calc_error_level_sample_step15,zt_error_direction_sample_step15,zt_error_analysis_note_step15,needs_manual_review_step15,needs_sintering_check_later_step15,pf_zt_problem_reason_step15
10.1016_j.joule.2019.08.017__sample_42871,2650,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; manual review candidate; sintering check candidate,yes,yes,yes,yes,high_zt_error;manual_review;sintering_check,false_negative,1,unknown,p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,Ge0.93In0.01Bi0.06Te,10.1016/j.joule.2019.08.017,https://doi.org/10.1016/j.joule.2019.08.017,,1.47819,0.2712075082993104,0.2642322001895972,,0.0263984030133652,100,A,high_zt_false_negative,False,unknown,True,True,unknown,,unknown,,unknown,no,no,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,10,9,1,0,0.1007204675379337,0.1220232254187135,0.0260559784074843,,not_evaluated,excellent,24388,42871,,3.2820438610943623,relative_scale,empirical_group_baseline,,yes,excellent,not_available,excellent,under_predicted,high_zt_false_negative,yes,yes,observed high ZT missed; insufficient ZT evaluation rows; manual review required; sintering check required later
10.1007_s10853-016-9980-x__sample_2535,2650,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; manual review candidate; sintering check candidate,yes,yes,yes,yes,high_zt_error;manual_review;sintering_check,false_negative,1,unknown,p,"estimated from Seebeck sign: positive=13, negative=4, zero=0, positive_ratio=0.765, negative_ratio=0.235",p,"estimated from Seebeck sign: positive=13, negative=4, zero=0, positive_ratio=0.765, negative_ratio=0.235",medium,Pb0.98Ca0.02Te,10.1007/s10853-016-9980-x,https://doi.org/10.1007/s10853-016-9980-x,,1.467123,0.4510302665079453,0.075898163531966,,4.9425715395338266,120,A,high_zt_false_negative,False,unknown,True,True,unknown,,unknown,,unknown,no,no,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,38,6,1,0,4.3827780418597095,1.938414707876236,1.7821419588055498,,not_evaluated,poor,11722,2535,,0.3326959672586814,relative_scale,empirical_group_baseline,,yes,poor,not_available,poor,under_predicted,high_zt_false_negative,yes,yes,large PF error; large ZT error vs calculated ZT; observed high ZT missed; insufficient ZT evaluation rows; manual review required; sintering check required later
10.1038_s41598-020-58998-1__sample_28170,2650,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; manual review candidate; sintering check candidate,yes,yes,yes,yes,high_zt_error;manual_review;sintering_check,false_negative,1,unknown,n,"estimated from Seebeck sign: positive=0, negative=8, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=8, zero=0, positive_ratio=0.000, negative_ratio=1.000",high,Mg2Sn,10.1038/s41598-020-58998-1,https://doi.org/10.1038/s41598-020-58998-1,,1.423474,0.0481090908885856,0.033992919698806,0.8378601759791743,0.4152679827109846,90,A,high_zt_false_negative,False,unknown,False,False,unknown,,unknown,,unknown,no,no,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,8,7,1,1,0.3328683747030369,0.3653330765506797,0.3473189002386334,1.819296204776405,poor,good,24687,28170,,1.0896517422184169,relative_scale,empirical_group_baseline,,yes,good,moderate,good,under_predicted,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later
10.1039_d0ee02323j__sample_37114,2650,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; manual review candidate; sintering check candidate,yes,yes,yes,yes,high_zt_error;manual_review;sintering_check,false_negative,1,unknown,p,"estimated from Seebeck sign: positive=19, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=19, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,Cu0.85Ag0.2In0.95Te2,10.1039/d0ee02323j,https://doi.org/10.1039/d0ee02323j,,1.409147,0.5628889567770093,1.4769365639984575,1.9788990467230907,1.6798751505834784,135,A,high_zt_false_negative,False,unknown,True,True,unknown,,unknown,,unknown,no,no,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,11,9,7,6,1.3454457830025135,0.9885511092450884,1.1156941552288957,1.20255779552058,poor,poor,29287,37114,,0.1479668126924197,relative_scale,empirical_group_baseline,,yes,poor,poor,poor,under_predicted,high_zt_false_negative,yes,yes,large PF error; large ZT error vs observed ZT; large ZT error vs calculated ZT; observed high ZT missed; manual review required; sintering check required later
10.3724_sp.j.1077.2011.00680__sample_16917,2650,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; manual review candidate; sintering check candidate,yes,yes,yes,yes,high_zt_error;manual_review;sintering_check,false_negative,1,unknown,p,"estimated from Seebeck sign: positive=8, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=8, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,Ag0.99Na0.01SbTe1.96Se0.04,10.3724/sp.j.1077.2011.00680,https://doi.org/10.3724/sp.j.1077.2011.00680,,1.401413,0.9991234841267445,1.4056932474592718,0.440036890153853,0.4422714791129755,90,A,high_zt_false_negative,False,unknown,True,True,unknown,,unknown,,unknown,no,no,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,8,8,8,8,0.4422714791129685,0.4356289918978335,0.4356289918978422,0.4335380815936979,moderate,moderate,5551,16917,,0.3906745625124235,relative_scale,empirical_group_baseline,,yes,good,good,good,under_predicted,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later
10.1039_c9ee03087e__sample_35659,2650,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; manual review candidate; sintering check candidate,yes,yes,yes,yes,high_zt_error;manual_review;sintering_check,false_negative,1,unknown,p,"estimated from Seebeck sign: positive=11, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=11, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,Ge0.87Cd0.03Sb0.10Te,10.1039/c9ee03087e,https://doi.org/10.1039/c9ee03087e,,1.400878,0.9598037758069348,1.3796347852425164,0.2605249107805843,0.2549904362475652,90,A,high_zt_false_negative,False,unknown,True,True,unknown,,unknown,,unknown,no,no,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,11,10,8,8,0.2825824223224217,0.299295839471866,0.281305879080175,0.2846603322801024,good,good,24107,35659,,1.0307159757119766,relative_scale,empirical_group_baseline,,yes,good,good,good,under_predicted,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later
10.1007_s11664-014-3235-x__sample_9913,2650,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; manual review candidate; sintering check candidate,yes,yes,yes,yes,high_zt_error;manual_review;sintering_check,false_negative,1,unknown,n,"estimated from Seebeck sign: positive=0, negative=12, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=12, zero=0, positive_ratio=0.000, negative_ratio=1.000",high,Mg2Si0.53Sn0.4Bi0.02Ge0.05,10.1007/s11664-014-3235-x,https://doi.org/10.1007/s11664-014-3235-x,,1.395122,0.6038146639087891,0.6395539976703715,0.1045683213001501,0.1031663147768358,95,A,high_zt_false_negative,False,unknown,True,False,unknown,,unknown,,unknown,no,no,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,12,4,2,2,0.2031101584395599,0.2221430326436009,0.1222535564016358,0.1179969061511413,excellent,excellent,10833,9913,,1.8943524281754216,relative_scale,empirical_group_baseline,,yes,good,excellent,excellent,near,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later
10.1073_pnas.1711725114__sample_24309,2650,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; manual review candidate; sintering check candidate,yes,yes,yes,yes,high_zt_error;manual_review;sintering_check,false_negative,1,unknown,n,"estimated from Seebeck sign: positive=0, negative=12, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=12, zero=0, positive_ratio=0.000, negative_ratio=1.000",high,Mg3.2Sb1.5Bi0.49Te0.01,10.1073/pnas.1711725114,https://doi.org/10.1073/pnas.1711725114,,1.388698,0.5697341661818288,0.7253304047064075,0.3127903017708708,0.4170198894745678,90,A,high_zt_false_negative,False,unknown,True,True,unknown,,unknown,,unknown,no,no,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,12,6,6,3,0.4170198894746752,0.3883432864190521,0.3883432864189695,0.2946357166045304,good,good,21294,24309,,0.4502062833429767,relative_scale,empirical_group_baseline,,yes,good,good,good,under_predicted,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later
10.1021_jacs.6b07010__sample_2892,2650,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; manual review candidate; sintering check candidate,yes,yes,yes,yes,high_zt_error;manual_review;sintering_check,false_negative,1,unknown,p,"estimated from Seebeck sign: positive=13, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=13, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,Sn0.97SePb0.03,10.1021/jacs.6b07010,https://doi.org/10.1021/jacs.6b07010,,1.386518,0.6849331011657487,0.4615822255073738,0.667495167435482,0.5801027194572456,100,A,high_zt_false_negative,False,unknown,True,True,unknown,,unknown,,unknown,no,no,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,13,5,2,2,0.4725433414580321,0.4741624082664519,0.4596936520032493,0.516297279702867,moderate,moderate,18599,2892,,0.0960996860324762,relative_scale,empirical_group_baseline,,yes,good,moderate,moderate,under_predicted,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later
10.1016_j.nanoen.2020.105649__sample_40664,2650,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; manual review candidate; sintering check candidate,yes,yes,yes,yes,high_zt_error;manual_review;sintering_check,false_negative,1,unknown,p,"estimated from Seebeck sign: positive=12, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=12, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,(Mn0.703Te0.285)(Sn0.006Te0.006),10.1016/j.nanoen.2020.105649,https://doi.org/10.1016/j.nanoen.2020.105649,,1.377934,0.2033155411485511,1.3639507477577246,0.5938017688068026,7.4389218900140435,110,A,high_zt_false_negative,False,unknown,True,True,unknown,,unknown,,unknown,no,no,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,11,8,8,7,7.438921890013895,2.088423979205259,2.088423979205275,1.376137571789522,poor,poor,31291,40664,,0.0192075627953974,relative_scale,empirical_group_baseline,,yes,poor,moderate,poor,under_predicted,high_zt_false_negative,yes,yes,large PF error; large ZT error vs calculated ZT; observed high ZT missed; manual review required; sintering check required later
10.1021_acs.chemmater.6b02308__sample_9545,2650,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; manual review candidate; sintering check candidate,yes,yes,yes,yes,high_zt_error;manual_review;sintering_check,false_negative,1,unknown,n,"estimated from Seebeck sign: positive=0, negative=21, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=21, zero=0, positive_ratio=0.000, negative_ratio=1.000",high,Mg2.16(Si0.3Ge0.03Sn0.67)0.98Sb0.02,10.1021/acs.chemmater.6b02308,https://doi.org/10.1021/acs.chemmater.6b02308,,1.371927,0.5065587151652491,0.6080510680579477,0.1180070208084046,0.1178484793942336,100,A,high_zt_false_negative,False,unknown,True,True,unknown,,unknown,,unknown,no,no,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,23,7,2,1,0.1106379931128575,0.14147428793918,0.1386144588172319,0.1255711831072594,excellent,excellent,7401,9545,,2.1772827591713257,relative_scale,empirical_group_baseline,,yes,excellent,excellent,excellent,near,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later
10.1039_c5ee01147g__sample_6056,2650,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; manual review candidate; sintering check candidate,yes,yes,yes,yes,high_zt_error;manual_review;sintering_check,false_negative,1,unknown,p,"estimated from Seebeck sign: positive=17, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=17, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,Pb1Te0.88S0.12Na0.02,10.1039/c5ee01147g,https://doi.org/10.1039/c5ee01147g,,1.369969,0.4395473566896454,0.5471978687001388,,0.1967305031107223,100,A,high_zt_false_negative,False,unknown,True,True,unknown,,unknown,,unknown,no,no,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,17,4,1,0,0.3301408957264512,0.4317165532302243,0.2190650087761944,,not_evaluated,good,874,6056,,1.4906971701827787,relative_scale,empirical_group_baseline,,yes,good,not_available,excellent,under_predicted,high_zt_false_negative,yes,yes,observed high ZT missed; insufficient ZT evaluation rows; manual review required; sintering check required later
10.1007_s11664-009-0993-y__sample_16743,2650,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; manual review candidate; sintering check candidate,yes,yes,yes,yes,high_zt_error;manual_review;sintering_check,false_negative,1,unknown,p,"estimated from Seebeck sign: positive=19, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=19, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,(GeTe)80(Ag0.8Sb1.2Te2.2)20,10.1007/s11664-009-0993-y,https://doi.org/10.1007/s11664-009-0993-y,,1.36355,0.8588505524495809,0.8758898775588613,0.0227207994720398,0.0194537299103965,100,A,high_zt_false_negative,False,unknown,True,True,unknown,,unknown,,unknown,no,no,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,19,19,1,1,0.0770109637932691,0.0905232396563601,0.0196454441587008,0.0229828944505837,excellent,excellent,2340,16743,,1.855016856749265,relative_scale,empirical_group_baseline,,yes,excellent,excellent,excellent,near,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later
10.1002_adma.201400515__sample_7653,2650,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; manual review candidate; sintering check candidate,yes,yes,yes,yes,high_zt_error;manual_review;sintering_check,false_negative,1,unknown,p,"estimated from Seebeck sign: positive=15, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=15, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,Cu1.98S,10.1002/adma.201400515,https://doi.org/10.1002/adma.201400515,,1.362581,0.5571696810831649,1.062409738958936,0.5386682908409537,0.4755604540775953,90,A,high_zt_false_negative,False,unknown,False,False,unknown,,unknown,,unknown,no,no,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,15,6,1,1,0.4320956417583726,0.4735296380786805,0.6454251181845716,0.773637952087833,moderate,moderate,6018,7653,,0.1451974705271161,relative_scale,empirical_group_baseline,,yes,good,moderate,good,under_predicted,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later
10.1002_anie.200600865__sample_19450,2650,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; manual review candidate; sintering check candidate,yes,yes,yes,yes,high_zt_error;manual_review;sintering_check,false_negative,1,unknown,p,"estimated from Seebeck sign: positive=43, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=43, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,Na0.8Pb20Sb0.6Te22,10.1002/anie.200600865,https://doi.org/10.1002/anie.200600865,,1.359939,0.7726818892115305,0.7300018410451898,0.0376411772467907,0.0584656719567075,100,A,high_zt_false_negative,False,unknown,True,True,unknown,,unknown,,unknown,no,no,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,44,25,1,1,0.3160133940917161,0.362079722941666,0.0568203802276924,0.0369500383201655,excellent,excellent,6440,19450,,1.429454482331343,relative_scale,empirical_group_baseline,,yes,good,excellent,excellent,near,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later
10.1021_acsami.9b12256__sample_41042,2650,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; manual review candidate; sintering check candidate,yes,yes,yes,yes,high_zt_error;manual_review;sintering_check,false_negative,1,unknown,p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,(Cu2Te)0.05(Cu3.52In4.16Te8),10.1021/acsami.9b12256,https://doi.org/10.1021/acsami.9b12256,,1.355412,0.375490164371683,1.3729156646772809,8.19911033260434,3.3869207210018866,135,A,high_zt_false_negative,False,unknown,True,True,unknown,,unknown,,unknown,no,no,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,10,7,4,4,2.2107665429328773,1.4071396021374991,1.6611385208597909,2.053294118584685,poor,poor,22290,41042,,0.1987824743206289,relative_scale,empirical_group_baseline,,yes,poor,poor,poor,under_predicted,high_zt_false_negative,yes,yes,large PF error; large ZT error vs observed ZT; large ZT error vs calculated ZT; observed high ZT missed; manual review required; sintering check required later
10.1039_d0ee02323j__sample_37115,2650,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; manual review candidate; sintering check candidate,yes,yes,yes,yes,high_zt_error;manual_review;sintering_check,false_negative,1,unknown,p,"estimated from Seebeck sign: positive=19, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=19, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,Cu0.86Ag0.2In0.94Te2,10.1039/d0ee02323j,https://doi.org/10.1039/d0ee02323j,,1.352287,0.5118241686948213,0.5092054879185548,1.102541589933996,1.1240852244319814,145,A,high_zt_false_negative,False,unknown,True,True,unknown,,unknown,,unknown,no,no,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,11,6,4,2,0.9490525521339728,0.8444534820865178,0.7846892801073383,0.8175921413402794,poor,poor,29287,37115,,0.1547749794837131,relative_scale,empirical_group_baseline,,yes,moderate,poor,poor,under_predicted,high_zt_false_negative,yes,yes,large ZT error vs observed ZT; large ZT error vs calculated ZT; observed high ZT missed; manual review required; sintering check required later
10.1039_c3tc31215a__sample_8183,2650,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; manual review candidate; sintering check candidate,yes,yes,yes,yes,high_zt_error;manual_review;sintering_check,false_negative,1,unknown,p,"estimated from Seebeck sign: positive=5, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=5, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,Sb3Te9,10.1039/c3tc31215a,https://doi.org/10.1039/c3tc31215a,,1.343709,0.9792460034666663,1.1843180734394163,0.1841313312472738,0.1634794834767663,90,A,high_zt_false_negative,False,unknown,True,True,unknown,,unknown,,unknown,no,no,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,5,5,5,5,0.1634794834767757,0.1807652476139872,0.180765247613979,0.2169765612740112,good,excellent,11505,8183,,1.2388579125137738,relative_scale,empirical_group_baseline,,yes,excellent,excellent,excellent,near,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later
10.1021_acsami.9b12256__sample_41044,2650,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; manual review candidate; sintering check candidate,yes,yes,yes,yes,high_zt_error;manual_review;sintering_check,false_negative,1,unknown,p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,(Cu2Te)0.11(Cu3.52In4.16Te8),10.1021/acsami.9b12256,https://doi.org/10.1021/acsami.9b12256,,1.340895,0.1603323617549544,0.0540953075326759,4.262047865546736,4.39856559365989,145,A,high_zt_false_negative,False,unknown,True,True,unknown,,unknown,,unknown,no,no,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,10,7,2,1,2.3607488399538634,1.2887304420193846,1.6458129415452971,1.6605202790318283,poor,poor,22290,41044,,0.1732869719778368,relative_scale,empirical_group_baseline,,yes,poor,poor,poor,under_predicted,high_zt_false_negative,yes,yes,large PF error; large ZT error vs observed ZT; large ZT error vs calculated ZT; observed high ZT missed; manual review required; sintering check required later
10.1039_c5ee03366g__sample_9274,2650,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; manual review candidate; sintering check candidate,yes,yes,yes,yes,high_zt_error;manual_review;sintering_check,false_negative,1,unknown,p,"estimated from Seebeck sign: positive=21, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=21, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,Sn0.99Na0.01Se,10.1039/c5ee03366g,https://doi.org/10.1039/c5ee03366g,,1.335113,0.1477620211893592,0.3695207435957627,0.5975499768508354,0.6001252331560483,100,A,high_zt_false_negative,False,unknown,True,True,unknown,,unknown,,unknown,no,no,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,21,21,1,1,0.4205804985355161,0.4828341180549551,0.9166038637849556,0.910184355921798,poor,poor,7981,9274,,0.3578861919512007,relative_scale,empirical_group_baseline,,yes,good,moderate,moderate,under_predicted,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later
10.1016_j.jmat.2017.07.003__sample_15416,2650,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; manual review candidate; sintering check candidate,yes,yes,yes,yes,high_zt_error;manual_review;sintering_check,false_negative,1,unknown,n,"estimated from Seebeck sign: positive=0, negative=21, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=21, zero=0, positive_ratio=0.000, negative_ratio=1.000",high,In0.20Ce0.20Co4Sb12.3,10.1016/j.jmat.2017.07.003,https://doi.org/10.1016/j.jmat.2017.07.003,,1.330923,0.7569487514562854,0.8730075967973061,0.0838370133106566,0.0562504051987921,90,A,high_zt_false_negative,False,unknown,True,True,unknown,,unknown,,unknown,no,no,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,22,8,8,7,0.0562504051987922,0.0707083896980019,0.0707083896980058,0.1133023824732294,excellent,excellent,18772,15416,,2.402387591368447,relative_scale,empirical_group_baseline,,yes,excellent,excellent,excellent,near,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later
10.1073_pnas.1711725114__sample_24317,2650,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; manual review candidate; sintering check candidate,yes,yes,yes,yes,high_zt_error;manual_review;sintering_check,false_negative,1,unknown,n,"estimated from Seebeck sign: positive=0, negative=12, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=12, zero=0, positive_ratio=0.000, negative_ratio=1.000",high,Mg3.1V0.1Sb1.5Bi0.49Te0.01,10.1073/pnas.1711725114,https://doi.org/10.1073/pnas.1711725114,,1.329892,0.9368024487461224,1.2313943400322898,0.7659387496718214,0.4892610755095153,90,A,high_zt_false_negative,False,unknown,True,True,unknown,,unknown,,unknown,no,no,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,12,8,5,3,0.4351874368336511,0.428921367407329,0.4567173291926766,0.5969107795015913,moderate,moderate,21294,24317,,0.3034743593774424,relative_scale,empirical_group_baseline,,yes,good,moderate,good,under_predicted,high_zt_false_negative,yes,yes,observed high ZT missed; manual review required; sintering check required later
10.1002_anie.201605015__sample_15233,2650,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; manual review candidate; sintering check candidate,yes,yes,yes,yes,high_zt_error;manual_review;sintering_check,false_negative,1,unknown,p,"estimated from Seebeck sign: positive=19, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=19, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,CsAg5Te3,10.1002/anie.201605015,https://doi.org/10.1002/anie.201605015,,1.327528,0.6861067237634578,1.2621406830925617,0.6529072236286019,0.7047752516193904,100,A,high_zt_false_negative,False,unknown,True,True,unknown,,unknown,,unknown,no,no,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,21,7,4,1,3.5152289203786458,1.4531964121624246,0.8691041158678238,1.058163167706934,poor,poor,6453,15233,,0.0378324102162274,relative_scale,empirical_group_baseline,,yes,poor,moderate,moderate,under_predicted,high_zt_false_negative,yes,yes,large PF error; observed high ZT missed; manual review required; sintering check required later
10.1021_jacs.1c01801__sample_44413,2650,A,ZT>=1 false negative; observed ZT>=1; large ZT prediction error; manual review candidate; sintering check candidate,yes,yes,yes,yes,high_zt_error;manual_review;sintering_check,false_negative,1,unknown,p,"estimated from Seebeck sign: positive=23, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=23, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,Cu0.8Ag0.2In0.2Ga0.8Te2,10.1021/jacs.1c01801,https://doi.org/10.1021/jacs.1c01801,,1.324401,0.4944121157194108,1.304902070903999,1.0638589027453964,1.035867079300793,135,A,high_zt_false_negative,False,unknown,True,True,unknown,,unknown,,unknown,no,no,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,23,20,13,6,0.9489678010268096,0.8544123280334978,0.8808331507594912,0.9393210566649008,poor,poor,37843,44413,,0.2060674632339822,relative_scale,empirical_group_baseline,,yes,moderate,poor,poor,under_predicted,high_zt_false_negative,yes,yes,large ZT error vs observed ZT; large ZT error vs calculated ZT; observed high ZT missed; manual review required; sintering check required later
